,Class_id,document_id,word_id,word_frequency
0,1,1,1,4
1,1,1,2,0
2,1,1,3,0
3,1,1,4,1
4,1,1,5,3
5,1,1,6,1
6,1,1,7,0
7,1,1,8,2
8,1,1,9,1
9,1,1,10,0
10,1,1,11,7
11,1,1,12,2
12,1,1,13,0
13,1,1,14,0
14,1,1,15,0
15,1,1,16,0
16,1,1,17,4
17,1,1,18,5
18,1,1,19,0
19,1,1,20,0
20,1,1,21,6
21,1,1,22,0
22,1,1,23,0
23,1,1,24,6
24,1,1,25,0
25,1,1,26,3
26,1,1,27,0
27,1,1,28,0
28,1,1,29,0
29,1,1,30,0
30,1,1,31,0
31,1,1,32,0
32,1,1,33,0
33,1,1,34,1
34,1,1,35,1
35,1,1,36,0
36,1,1,37,0
37,1,1,38,0
38,1,1,39,0
39,1,1,40,0
40,1,1,41,1
41,1,1,42,1
42,1,1,43,1
43,1,1,44,0
44,1,1,45,0
45,1,1,46,2
46,1,1,47,0
47,1,1,48,0
48,1,1,49,0
49,1,1,50,0
50,1,1,51,0
51,1,1,52,0
52,1,1,53,0
53,1,1,54,0
54,1,1,55,3
55,1,1,56,0
56,1,1,57,0
57,1,1,58,1
58,1,1,59,0
59,1,1,60,0
60,1,1,61,0
61,1,1,62,0
62,1,1,63,0
63,1,1,64,0
64,1,1,65,0
65,1,1,66,0
66,1,1,67,0
67,1,1,68,0
68,1,1,69,0
69,1,1,70,1
70,1,1,71,0
71,1,1,72,0
72,1,1,73,0
73,1,1,74,0
74,1,1,75,0
75,1,1,76,1
76,1,1,77,0
77,1,1,78,0
78,1,1,79,0
79,1,1,80,0
80,1,1,81,0
81,1,1,82,0
82,1,1,83,0
83,1,1,84,0
84,1,1,85,0
85,1,1,86,0
86,1,1,87,0
87,1,1,88,0
88,1,1,89,0
89,1,1,90,0
90,1,1,91,0
91,1,1,92,0
92,1,1,93,0
93,1,2,94,5
94,1,2,95,1
95,1,2,96,1
96,1,2,72,5
97,1,2,6,2
98,1,2,58,2
99,1,2,97,0
100,1,2,98,0
101,1,2,9,1
102,1,2,99,1
103,1,2,13,0
104,1,2,100,0
105,1,2,4,4
106,1,2,101,0
107,1,2,45,0
108,1,2,11,6
109,1,2,18,9
110,1,2,102,0
111,1,2,103,0
112,1,2,43,1
113,1,2,104,0
114,1,2,105,0
115,1,2,106,0
116,1,2,21,8
117,1,2,107,1
118,1,2,5,0
119,1,2,24,5
120,1,2,108,0
121,1,2,85,6
122,1,2,109,1
123,1,2,110,1
124,1,2,111,5
125,1,2,112,1
126,1,2,55,8
127,1,2,113,0
128,1,2,114,1
129,1,2,115,0
130,1,2,116,1
131,1,2,117,0
132,1,2,33,0
133,1,2,118,0
134,1,2,119,2
135,1,2,120,0
136,1,2,121,0
137,1,2,122,1
138,1,2,123,0
139,1,2,124,0
140,1,2,125,0
141,1,2,126,0
142,1,2,127,0
143,1,2,128,0
144,1,2,129,0
145,1,2,130,0
146,1,2,131,0
147,1,2,132,0
148,1,2,133,1
149,1,2,134,1
150,1,2,135,0
151,1,2,136,0
152,1,2,137,0
153,1,2,138,0
154,1,2,139,0
155,1,2,140,0
156,1,2,141,1
157,1,2,82,1
158,1,2,142,0
159,1,2,143,0
160,1,2,30,0
161,1,2,144,0
162,1,2,48,0
163,1,2,46,4
164,1,2,56,0
165,1,2,145,0
166,1,2,146,0
167,1,2,147,0
168,1,2,148,0
169,1,2,149,0
170,1,2,150,0
171,1,2,41,1
172,1,2,151,0
173,1,2,152,0
174,1,2,49,0
175,1,2,153,0
176,1,2,154,1
177,1,2,31,0
178,1,2,155,0
179,1,2,156,1
180,1,2,157,0
181,1,2,158,0
182,1,2,159,0
183,1,2,160,0
184,1,2,161,0
185,1,2,84,0
186,1,2,162,0
187,1,2,163,0
188,1,2,164,0
189,1,2,165,0
190,1,2,166,1
191,1,2,167,0
192,1,2,168,0
193,1,2,169,0
194,1,2,170,0
195,1,2,171,0
196,1,2,172,0
197,1,2,173,0
198,1,2,174,0
199,1,2,175,0
200,1,2,176,0
201,1,2,177,0
202,1,2,178,0
203,1,2,64,0
204,1,2,179,0
205,1,2,180,0
206,1,2,181,0
207,1,2,182,0
208,1,2,183,2
209,1,2,184,0
210,1,2,89,1
211,1,2,185,1
212,1,2,186,0
213,1,2,187,0
214,1,2,188,0
215,1,2,189,1
216,1,2,190,0
217,1,2,66,0
218,1,2,191,0
219,1,2,192,0
220,1,2,193,0
221,1,2,35,0
222,1,2,194,0
223,1,2,195,0
224,1,2,196,0
225,1,2,197,0
226,1,2,198,0
227,1,2,199,0
228,1,2,200,0
229,1,2,201,0
230,1,2,67,0
231,1,2,202,0
232,1,2,203,0
233,1,2,204,0
234,1,2,205,0
235,1,2,206,0
236,1,2,207,0
237,1,2,208,0
238,1,2,209,0
239,1,2,210,0
240,1,2,211,0
241,1,2,70,0
242,1,2,212,0
243,1,2,213,0
244,1,2,214,0
245,1,2,86,0
246,1,2,215,0
247,1,2,216,0
248,1,2,217,1
249,1,2,218,0
250,1,2,219,0
251,1,3,58,3
252,1,3,220,2
253,1,3,221,0
254,1,3,222,1
255,1,3,140,0
256,1,3,223,3
257,1,3,6,2
258,1,3,107,2
259,1,3,224,1
260,1,3,24,3
261,1,3,21,10
262,1,3,225,0
263,1,3,217,0
264,1,3,226,0
265,1,3,4,0
266,1,3,227,0
267,1,3,11,5
268,1,3,228,1
269,1,3,46,4
270,1,3,155,0
271,1,3,229,0
272,1,3,230,0
273,1,3,85,3
274,1,3,55,1
275,1,3,231,0
276,1,3,232,1
277,1,3,233,1
278,1,3,20,3
279,1,3,234,0
280,1,3,235,0
281,1,3,236,0
282,1,3,96,1
283,1,3,237,0
284,1,3,110,0
285,1,3,63,0
286,1,3,238,1
287,1,3,30,1
288,1,3,70,2
289,1,3,239,0
290,1,3,240,0
291,1,3,241,0
292,1,3,18,1
293,1,3,242,0
294,1,3,243,0
295,1,3,244,0
296,1,3,245,0
297,1,3,41,1
298,1,3,246,2
299,1,3,40,0
300,1,3,247,0
301,1,3,248,0
302,1,3,89,0
303,1,3,34,0
304,1,3,56,1
305,1,3,143,0
306,1,3,17,0
307,1,3,249,0
308,1,3,250,0
309,1,3,181,0
310,1,3,251,0
311,1,3,102,0
312,1,3,125,0
313,1,3,122,0
314,1,3,252,2
315,1,3,118,1
316,1,3,253,0
317,1,3,254,0
318,1,3,186,0
319,1,3,117,1
320,1,3,255,0
321,1,3,256,0
322,1,3,257,1
323,1,3,258,0
324,1,3,259,0
325,1,3,260,0
326,1,3,261,0
327,1,3,262,0
328,1,3,212,0
329,1,3,263,0
330,1,3,264,0
331,1,3,265,0
332,1,3,266,0
333,1,3,86,1
334,1,3,267,0
335,1,3,203,1
336,1,3,268,1
337,1,3,172,1
338,1,3,269,1
339,1,3,270,0
340,1,3,271,0
341,1,3,272,0
342,1,3,273,0
343,1,3,274,0
344,1,3,275,0
345,1,3,276,0
346,1,3,162,0
347,1,3,277,0
348,1,3,278,0
349,1,3,213,0
350,1,3,279,0
351,1,3,280,0
352,1,3,281,0
353,1,4,282,10
354,1,4,4,25
355,1,4,258,3
356,1,4,283,5
357,1,4,11,20
358,1,4,284,4
359,1,4,6,6
360,1,4,186,0
361,1,4,107,2
362,1,4,21,42
363,1,4,285,0
364,1,4,286,0
365,1,4,287,11
366,1,4,288,7
367,1,4,9,3
368,1,4,289,0
369,1,4,86,4
370,1,4,55,18
371,1,4,87,4
372,1,4,18,15
373,1,4,162,4
374,1,4,290,1
375,1,4,291,0
376,1,4,35,3
377,1,4,292,0
378,1,4,293,4
379,1,4,294,1
380,1,4,295,0
381,1,4,63,1
382,1,4,206,8
383,1,4,296,0
384,1,4,297,1
385,1,4,298,4
386,1,4,102,4
387,1,4,82,4
388,1,4,197,6
389,1,4,299,0
390,1,4,58,9
391,1,4,85,3
392,1,4,300,8
393,1,4,68,10
394,1,4,301,1
395,1,4,302,0
396,1,4,303,0
397,1,4,304,2
398,1,4,24,9
399,1,4,305,1
400,1,4,306,2
401,1,4,307,0
402,1,4,308,3
403,1,4,309,0
404,1,4,30,2
405,1,4,310,0
406,1,4,311,0
407,1,4,22,3
408,1,4,312,1
409,1,4,313,0
410,1,4,67,1
411,1,4,314,2
412,1,4,315,0
413,1,4,316,0
414,1,4,317,0
415,1,4,318,0
416,1,4,145,1
417,1,4,319,0
418,1,4,320,0
419,1,4,321,2
420,1,4,150,1
421,1,4,66,1
422,1,4,322,0
423,1,4,57,0
424,1,4,33,2
